animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,Class_Number,Number_Of_Animal_Species_In_Class,Class_Type,Animal_Names,habitat_type,diet,conservation_status,is_endangered,diet_complexity
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,,,unknown,unknown,savanna,insectivore,least concern,0,0
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,grasslands,herbivore,near threatened,0,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,,,unknown,unknown,freshwater,carnivore,least concern,0,3
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,,,unknown,unknown,forest,omnivore,vulnerable,1,2
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,forest,omnivore,least concern,0,2
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,grasslands,herbivore,endangered,1,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,,,unknown,unknown,domestic,herbivore,unknown,0,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,,,unknown,unknown,freshwater,omnivore,least concern,0,2
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,,,unknown,unknown,freshwater,carnivore,unknown,0,3
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,,,unknown,unknown,unknown,unknown,unknown,0,0
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,,,unknown,unknown,unknown,unknown,unknown,0,0
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,,,unknown,unknown,marine,filter_feeder,least concern,0,0
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,,,unknown,unknown,marine,omnivore,least concern,0,2
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,,,unknown,unknown,unknown,unknown,unknown,0,0
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,forest,herbivore,vulnerable,1,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,,,unknown,unknown,unknown,unknown,unknown,0,0
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,,,unknown,unknown,unknown,unknown,unknown,0,0
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,,,unknown,unknown,unknown,unknown,unknown,0,0
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,,,unknown,unknown,unknown,unknown,unknown,0,0
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,,,unknown,unknown,unknown,unknown,unknown,0,0
